User,User_Gender,User_Age,Smoked_cigarette,Online_purchase,Offline_purchase,Meat_based_meals,Flights,M2_House,Heating_system_type,House_temperature,Fireplace,Fireplace_use,Transport_type,Transport_use,Transport_km
1,Woman,18 - 24,140,5,10,16,0.5,40,3,19,0,0.0,1,0,0
2,Man,25 - 30,140,5,5,28,0.67,120,2,21,0,0.0,5,16,400
3,Woman,18 - 24,140,5,5,16,0.33,35,3,23,0,0.0,1,0,0
4,Man,25 - 30,0,15,5,28,0.17,105,3,19,0,0.0,5,56,800
5,Man,18 - 24,280,5,5,28,0.17,123,3,21,0,0.0,5,28,400
6,Man,18 - 24,0,5,5,8,0.33,160,3,21,0,0.0,1,0,0
7,Woman,25 - 30,5,10,5,16,0.83,30,3,23,0,0.0,1,16,200
8,Man,18 - 24,0,5,5,28,0.17,150,3,19,1,1.67,5,56,200
9,Man,18 - 24,5,5,10,16,0.33,144,3,19,0,0.0,5,56,400
10,Woman,51 - 60,0,10,5,8,0.0,100,3,19,0,0.0,0,8,200
11,Man,25 - 30,20,5,5,16,0.0,110,4,21,1,6.67,5,28,200
12,Man,18 - 24,0,10,15,28,0.17,300,3,23,1,6.67,5,65,800
13,Man,31 - 40,0,15,10,16,0.17,60,3,19,0,0.0,5,56,2000
14,Woman,18 - 24,0,5,5,8,0.33,120,3,21,1,1.67,5,28,200
15,Woman,51 - 60,0,5,5,8,0.17,160,3,19,1,1.67,5,28,400
16,Man,25 - 30,280,5,10,16,0.17,123,3,21,1,1.67,5,65,800
17,Woman,51 - 60,0,5,10,16,0.33,120,2,21,0,0.0,5,56,800
18,Woman,41 - 50,0,5,10,16,0.17,140,3,21,1,1.67,5,65,2000
19,Woman,18 - 24,0,5,10,16,0.25,200,3,19,1,1.67,5,16,200
20,Man,25 - 30,420,5,10,16,0.08,130,3,19,0,0.0,5,56,2500
21,Woman,18 - 24,0,5,5,8,0.17,80,3,21,1,1.67,5,28,200
22,Man,18 - 24,140,5,5,16,0.83,220,4,23,0,0.0,5,28,800
23,Man,18 - 24,0,5,5,8,0.08,105,3,19,1,1.67,5,16,200
24,Woman,25 - 30,0,5,5,8,0.42,106,2,21,0,0.0,1,8,200
25,Man,25 - 30,280,5,5,16,0.17,120,2,21,0,0.0,5,56,800
26,Man,25 - 30,0,10,10,16,0.08,65,3,21,0,0.0,5,65,2500
27,Man,18 - 24,0,5,5,16,0.17,130,3,19,1,1.67,5,28,200
28,Woman,51 - 60,0,5,5,8,0.08,95,3,19,0,0.0,5,16,400
29,Woman,25 - 30,280,10,5,16,0.0,231,3,19,0,0.0,5,65,400
30,Man,25 - 30,280,5,10,28,0.33,200,5,21,1,6.67,5,28,800
31,Man,25 - 30,420,5,25,16,0.33,140,3,19,0,0.0,5,28,800
32,Woman,25 - 30,0,20,20,8,0.33,95,3,21,0,0.0,5,56,800
33,Man,18 - 24,0,5,10,16,0.33,92,3,23,0,0.0,5,65,2500
34,Woman,25 - 30,5,5,5,16,0.17,145,3,21,0,0.0,5,56,200
35,Woman,25 - 30,280,5,10,28,0.5,100,3,21,0,0.0,1,28,200
36,Woman,25 - 30,0,5,5,16,0.67,50,3,21,0,0.0,1,0,0
37,Woman,25 - 30,0,10,5,8,0.08,120,3,21,0,0.0,5,65,200
38,Man,25 - 30,0,5,5,8,0.5,90,3,19,0,0.0,5,56,2000
39,Man,25 - 30,280,5,5,16,0.08,250,3,19,1,1.67,1,8,200
40,Woman,25 - 30,0,5,10,8,0.33,110,4,21,0,0.0,5,56,200
41,Woman,18 - 24,5,5,10,8,0.17,200,3,23,0,0.0,1,28,400
42,Woman,25 - 30,0,5,5,8,0.0,150,2,21,0,0.0,5,28,200
43,Man,25 - 30,280,5,5,28,0.5,120,3,21,0,0.0,4,56,800
44,Man,51 - 60,0,5,5,8,0.0,150,3,21,1,6.67,5,65,2000
45,Man,31 - 40,560,10,5,8,0.08,75,3,21,0,0.0,3,8,200
46,Woman,25 - 30,20,5,5,28,0.08,100,3,19,0,0.0,5,16,800
47,Woman,25 - 30,0,5,5,8,0.17,70,3,19,0,0.0,5,8,200
48,Man,25 - 30,0,5,10,16,0.17,105,3,19,0,0.0,5,65,800
49,Man,25 - 30,0,5,5,16,0.17,100,3,19,0,0.0,5,65,400
50,Man,31 - 40,0,5,5,16,0.17,50,3,23,0,0.0,5,65,400
51,Man,25 - 30,0,5,5,16,0.17,80,3,19,0,0.0,5,56,800
52,Man,18 - 24,0,5,5,8,0.17,100,3,19,0,0.0,5,56,400
53,Woman,25 - 30,0,20,5,16,0.0,90,1,25,0,0.0,5,16,200
54,Woman,25 - 30,5,5,5,16,0.5,85,3,23,0,0.0,5,16,200
55,Man,51 - 60,560,5,5,16,0.17,100,3,21,0,0.0,5,65,2000
56,Man,41 - 50,0,5,5,16,0.08,50,3,19,0,0.0,5,65,400
57,Woman,31 - 40,0,5,5,16,0.0,55,4,19,0,0.0,5,28,200
58,Man,25 - 30,280,5,10,28,0.17,300,3,21,1,1.67,5,56,800
59,Woman,25 - 30,0,5,5,8,0.5,400,3,21,0,0.0,5,65,2000
60,Woman,25 - 30,0,5,5,8,0.17,120,3,21,0,0.0,5,16,200
61,Woman,51 - 60,0,5,10,16,0.0,80,3,21,0,0.0,5,28,2000
62,Woman,51 - 60,0,5,10,16,0.0,80,3,21,0,0.0,5,28,800
63,Man,18 - 24,0,5,5,8,1.17,70,3,21,0,0.0,5,16,800
64,Woman,18 - 24,0,5,15,8,0.0,125,3,19,1,1.67,5,56,200
65,Woman,41 - 50,0,5,5,8,0.33,100,3,19,0,0.0,5,56,800
66,Woman,25 - 30,0,5,10,16,1.17,170,3,19,0,0.0,5,16,400
67,Woman,18 - 24,20,5,5,0,0.17,200,5,21,0,0.0,2,65,400
68,Woman,18 - 24,0,5,5,8,0.0,100,3,21,0,0.0,5,56,800
69,Woman,18 - 24,0,5,10,8,0.0,60,3,19,0,0.0,1,8,200
70,Woman,18 - 24,140,5,10,8,0.0,130,5,19,1,3.33,3,56,400
71,Woman,18 - 24,0,5,5,8,0.17,70,3,19,0,0.0,1,0,0
72,Woman,31 - 40,0,5,5,16,0.0,100,3,21,0,0.0,5,56,400
73,Man,18 - 24,20,5,5,16,0.17,230,3,21,0,0.0,5,8,400
74,Woman,18 - 24,0,5,5,0,0.0,100,3,21,0,0.0,1,8,400
75,Man,18 - 24,0,5,5,16,0.33,100,3,21,0,0.0,5,28,2000
76,Woman,51 - 60,0,5,5,8,0.0,100,3,21,0,0.0,5,65,200
77,Woman,18 - 24,0,5,5,16,0.0,90,3,21,0,0.0,1,8,200
78,Woman,18 - 24,5,5,5,0,0.0,177,3,19,1,1.67,1,8,200
79,Man,25 - 30,20,5,5,28,0.33,150,5,21,1,6.67,5,65,2000
80,Man,25 - 30,560,5,10,16,0.08,100,3,19,0,0.0,5,16,800
81,Woman,51 - 60,0,5,10,8,0.17,100,3,19,0,0.0,5,28,200
82,Man,25 - 30,0,5,5,28,0.83,200,3,19,1,6.67,5,65,2500
83,Woman,18 - 24,140,5,5,16,0.17,110,4,21,0,0.0,5,28,400
84,Woman,18 - 24,0,5,10,28,0.0,100,3,19,0,0.0,1,0,0
85,Man,18 - 24,0,5,5,16,0.0,85,3,21,1,1.67,1,8,400
86,Man,31 - 40,5,15,25,8,1.67,50,3,19,0,0.0,0,8,200
87,Man,25 - 30,0,5,5,28,0.08,100,3,19,0,0.0,5,56,800
88,Woman,51 - 60,0,5,5,8,0.0,50,3,21,0,0.0,5,16,200
89,Woman,18 - 24,0,15,20,28,0.67,150,3,23,1,1.67,5,56,400
90,Man,51 - 60,0,5,5,16,0.67,200,3,21,1,1.67,5,65,2500
91,Man,25 - 30,560,15,15,28,0.33,90,0,25,0,0.0,5,65,2500
92,Woman,18 - 24,140,5,5,28,0.33,60,4,21,0,0.0,1,65,2000
93,Woman,25 - 30,0,5,10,8,1.67,150,2,21,1,6.67,1,28,200
94,Man,31 - 40,0,5,5,8,0.33,72,3,21,0,0.0,4,8,800
95,Woman,31 - 40,0,5,5,16,1.0,50,3,23,0,0.0,1,28,200
96,Woman,31 - 40,0,5,25,0,1.25,50,3,26,0,0.0,5,16,200
97,Woman,25 - 30,0,5,10,16,0.33,80,3,21,0,0.0,5,56,2500
98,Man,25 - 30,0,5,5,16,0.67,90,3,23,0,0.0,1,8,200
99,Woman,41 - 50,0,5,10,8,0.08,200,3,21,0,0.0,5,16,800
100,Man,25 - 30,280,5,5,16,0.5,85,5,19,1,6.67,5,65,2500
101,Woman,51 - 60,280,5,5,16,0.17,150,3,21,1,6.67,5,16,200
102,Man,31 - 40,5,5,5,16,1.67,60,3,21,0,0.0,0,8,200
103,Woman,25 - 30,20,5,10,8,0.5,360,3,21,1,1.67,5,56,2000
104,Man,25 - 30,0,5,5,16,0.17,120,3,19,0,0.0,5,65,400
105,Woman,18 - 24,0,5,5,8,0.17,180,3,21,0,0.0,1,16,400
106,Woman,41 - 50,0,5,5,8,0.0,90,3,21,0,0.0,5,28,2000
107,Woman,25 - 30,0,5,5,8,0.33,110,2,21,0,0.0,5,28,2000
108,Woman,51 - 60,0,5,5,8,0.33,70,3,19,0,0.0,5,8,400
109,Woman,51 - 60,0,5,10,8,0.0,123,4,21,1,1.67,5,28,200
110,Man,51 - 60,0,5,5,8,0.0,90,3,21,0,0.0,5,28,200
111,Woman,25 - 30,0,5,10,8,0.08,229,3,19,1,1.67,5,65,800
112,Man,25 - 30,0,5,15,8,1.33,75,3,21,0,0.0,5,16,200
113,Woman,25 - 30,20,5,5,16,0.17,70,2,23,0,0.0,5,16,400
114,Man,31 - 40,0,20,5,16,0.83,50,3,21,0,0.0,5,8,400
115,Man,51 - 60,0,5,5,16,0.17,90,3,21,0,0.0,5,65,2500
116,Woman,18 - 24,280,5,5,16,0.17,100,3,21,0,0.0,5,56,800
117,Woman,41 - 50,0,5,15,16,0.0,95,3,21,0,0.0,5,56,400
118,Woman,51 - 60,0,10,10,8,0.0,100,3,21,0,0.0,5,56,200
119,Woman,31 - 40,0,5,5,16,0.0,90,3,19,0,0.0,5,65,200
120,Woman,51 - 60,0,5,25,8,0.0,150,3,21,1,1.67,5,28,200
121,Woman,31 - 40,0,5,5,8,0.0,90,2,21,0,0.0,3,28,800
122,Woman,31 - 40,0,5,5,8,0.0,60,4,21,0,0.0,5,16,400
123,Woman,51 - 60,560,5,10,8,0.0,120,3,21,0,0.0,5,56,400
124,Woman,41 - 50,420,5,5,8,0.0,150,4,21,0,0.0,5,8,200
125,Woman,18 - 24,0,5,5,8,0.83,80,3,21,0,0.0,0,0,0
126,Woman,51 - 60,0,5,5,8,0.0,120,3,21,0,0.0,5,56,200
127,Man,31 - 40,420,10,10,28,0.33,90,2,21,0,0.0,4,65,2000
128,Woman,51 - 60,0,5,5,16,0.0,140,3,21,0,0.0,5,16,800
129,Man,31 - 40,560,5,15,16,0.17,75,3,21,0,0.0,5,56,800
130,Woman,51 - 60,0,5,10,8,0.0,130,3,19,0,0.0,5,8,400
131,Man,51 - 60,0,5,15,8,0.0,120,3,19,0,0.0,5,8,200
132,Woman,41 - 50,0,5,25,16,0.17,160,3,21,0,0.0,5,65,800
133,Woman,51 - 60,0,5,5,8,0.0,135,2,21,0,0.0,5,28,200
134,Man,51 - 60,0,5,20,16,0.0,206,3,19,1,5.0,0,16,400
135,Woman,51 - 60,0,5,25,8,0.0,180,3,19,1,3.33,0,28,400
136,Woman,41 - 50,0,5,5,16,0.0,100,3,21,0,0.0,5,8,200
137,Man,31 - 40,0,5,5,8,0.17,60,2,21,0,0.0,1,8,800
138,Man,51 - 60,0,5,5,8,0.0,50,3,19,0,0.0,5,65,2000
139,Woman,51 - 60,0,5,5,8,0.33,75,3,19,0,0.0,5,28,400
140,Woman,25 - 30,0,5,5,8,0.0,140,3,21,0,0.0,5,28,400
141,Woman,25 - 30,0,5,10,8,0.17,200,3,21,1,1.67,3,8,400
142,Woman,18 - 24,0,5,10,8,0.17,45,3,21,0,0.0,1,0,0
143,Woman,25 - 30,0,5,5,8,0.17,130,4,19,1,1.67,3,65,800
144,Man,25 - 30,0,5,5,28,0.17,100,3,21,0,0.0,5,28,200
145,Woman,18 - 24,0,5,5,8,0.17,275,2,19,0,0.0,5,16,200
146,Woman,18 - 24,0,10,5,28,0.17,170,3,21,1,1.67,5,56,400
147,Woman,51 - 60,0,5,10,8,0.17,200,3,19,1,3.33,5,65,400
148,Man,51 - 60,420,5,5,16,0.0,70,3,21,1,1.67,5,16,400
149,Woman,41 - 50,0,5,5,16,0.17,400,2,21,1,1.67,5,65,800
150,Woman,41 - 50,0,5,5,8,0.17,80,3,19,0,0.0,5,65,800
151,Woman,51 - 60,5,5,5,8,0.0,70,3,21,1,1.67,5,8,200
152,Woman,51 - 60,0,5,5,16,0.0,130,3,19,0,0.0,5,56,400
153,Woman,25 - 30,0,5,5,16,0.17,180,2,21,0,0.0,3,65,2000
154,Woman,25 - 30,0,5,5,8,0.5,55,3,21,0,0.0,1,16,200
155,Woman,18 - 24,0,5,10,16,0.17,140,3,21,1,1.67,5,0,0
156,Man,18 - 24,0,5,10,28,0.17,150,3,19,0,0.0,1,8,200
157,Man,18 - 24,140,5,5,16,1.67,62,4,21,0,0.0,1,16,400
158,Woman,18 - 24,0,10,25,16,0.0,123,5,21,1,6.67,5,16,800
159,Man,18 - 24,0,5,5,16,0.17,80,3,23,1,1.67,5,16,2000
160,Man,18 - 24,0,10,10,28,0.33,100,3,21,0,0.0,5,56,800
161,Non-Binary,31 - 40,280,20,15,28,0.25,200,4,21,1,3.33,3,8,200
162,Non-Binary,18 - 24,420,5,10,16,0.0,100,3,19,1,6.67,0,56,800
163,Woman,25 - 30,280,5,10,16,0.08,70,3,21,0,0.0,5,28,200
164,Woman,18 - 24,0,10,25,16,0.0,123,5,21,1,6.67,5,16,800
